Protein.Group,Genes
A0A1W2PNV3;O14653;O14653-2;A0A1W2PQM3;E7EQ34;A0A1W2PPG1;A0A1W2PPG5;A0A1W2PPP5;A0A1W2PRC2;A0A1W2PS81;I3L4Z6;I3NI02,GOSR2
A0A1W2PNV3;O14653;O14653-2;O14653-3;A0A1W2PQM3;E7EQ34;A0A1W2PPG1;A0A1W2PPG5;A0A1W2PPP5;A0A1W2PRC2;A0A1W2PRV0;A0A1W2PS81;A0A1X7SBU8;I3L4Z6;I3NI02,GOSR2
A0A1W2PP10,VPS35
A0A1W2PP67;A0A1W2PQE2;A0A1W2PQZ3,HLA-B
A0A1W2PPA0;O95427;A0A1W2PNH8;A0A1W2PNR0;A0A1W2PNW5;A0A1W2PPB6;A0A1W2PQA9;A0A1W2PQZ1;A0A1W2PS19;K7ELE1,PIGN
A0A1W2PQS6,RPS10-NUDT3
A0A1W2PQS6;Q9NQ39,RPS10-NUDT3;RPS10P5
A0A1W2PRB8;Q9H0W9-4;E9PJU8,C11orf54
A0A1W2PRB8;Q9NVC6-2,MED17
A0A286YFE1,PHGDH
A0A286YFL2;A0A286YFE1;O43175;A0A286YF22,PHGDH
A0A286YFL2;O43175;A0A286YF22,PHGDH
A0A2C9F2R7,FRYL
A0A2R8Y4S2,RNASEH2B
A0A2R8Y4S2;Q5TBB1;A0A2R8YCX2;A0A2R8YGP2,RNASEH2B
A0A2R8Y521;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0,CHD4
A0A2R8Y521;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0;A0A2R8YFD8,CHD4
A0A2R8Y521;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0;A0A2R8YFD8;Q8TDI0,CHD4;CHD5
A0A2R8Y5A6;A0A2R8YDM9,ATXN2
A0A2R8Y5C4,TNKS1BP1
A0A2R8Y5F2;Q14865;A0A7P0TAD2,ARID5B
A0A2R8Y635,ATP13A3
A0A2R8Y635;Q9H7F0;A0A2R8YDN7,ATP13A3
A0A2R8Y648,GCLC
A0A2R8Y648;P48506,GCLC
A0A2R8Y651;O14908,GIPC1;GIPC3
A0A2R8Y661,RAPGEF2
A0A2R8Y661;A0A2R8YGD3,RAPGEF2
A0A2R8Y661;E9PCH4;Q9Y4G8;A0A994J7S7;A0A2R8YGD3,RAPGEF2
A0A2R8Y661;Q9Y4G8;A0A994J7S7;A0A2R8YGD3,RAPGEF2
A0A2R8Y6C7;P06744;A0A2U3TZU2,GPI
A0A2R8Y6D0,EPB41
A0A2R8Y760;A8MWQ5,COL25A1
A0A2R8Y783,EPB41
A0A2R8Y783;P11171-4;A0A2R8Y420;P11171;P11171-2;A0A2R8Y6D0,EPB41
A0A2R8Y783;P11171-4;P11171;P11171-2,EPB41
A0A2R8Y7A0;O00462;A0A2R8YEC9,MANBA
A0A2R8Y8E0;H7C560,BRAF
A0A2R8YCL4,TASOR2
A0A2R8YDH4;Q16595,FXN
A0A2R8YDH4;Q9UDY2-2;Q9UDY2-4;A0A3B3IU51,TJP2
A0A2R8YDR7;A0A0B4J2D5;P0DPI2,GATD3;GATD3B
A0A2R8YEZ0,ABHD18
A0A2R8YF49;A5YM69;A0A5F9ZH52,ARHGEF35;ARHGEF5
A0A2R8YFD8,CHD4
A0A384DVK4,R3HCC1L
A0A384DVK4;Q7Z5L2;Q7Z5L2-2,R3HCC1L
A0A3B3IRR3;A0A7P0Z485,FBRSL1
A0A3B3IRW6,QSER1
A0A3B3IRW6;Q2KHR3,QSER1
A0A3B3IS56;Q13144;A0A3B3IUB1,EIF2B5
A0A3B3ISF0,LARP1B
A0A3B3ISF0;Q659C4-2;A0A994J4X5,LARP1B
A0A3B3ISG5;A0A7I2V2P6,IDE
A0A3B3ISJ8,CLIP1
A0A3B3ISJ8;P30622;P30622-1;P30622-2,CLIP1
A0A3B3ISP1,ANKS1A
A0A3B3ISR0;A0A3B3IU19;B7Z647,DLG4
A0A3B3ISV4,VKORC1L1
A0A3B3ISV4;Q8N0U8,VKORC1L1
A0A3B3IT92,MCM4
A0A3B3IT92;P33991;A0A3B3IU45,MCM4
A0A3B3ITC1;C9JDQ1;Q13724,MOGS
A0A3B3ITC1;Q13724,MOGS
A0A3B3ITJ4,HNRNPL
A0A3B3ITJ4;Q8WVV9;Q8WVV9-4;C9IYN3;V9GYK2,HNRNPL;HNRNPLL
A0A3B3ITL1;Q8WUD1,RAB2B
A0A3B3ITT5;P47914,RPL29
A0A3B3IU64;Q8N5Y2;A0A3B3IT59;A0A3B3ITL5,MSL3
A0A494BZR8;Q9NZJ5,EIF2AK3
A0A494BZV2,MPRIP
A0A494BZV2;Q6WCQ1-3,MPRIP
A0A494BZW6,CPLANE1
A0A494BZX7;A0A499FIJ6;B0QY83;W0Z7M9,MRTFA
A0A494BZY7,EEF1AKMT2
A0A494C030;A0A494C0Y0,LOC114841035
A0A494C039,HYOU1
A0A494C039;Q9Y4L1,HYOU1
A0A494C0P9;O95453;O95453-2,PARN
A0A494C0R8,CLUH
A0A494C0X7,ITGB2
A0A494C1L5,LRBA
A0A494C1L5;Q8NFP9;Q5T321,LRBA;NBEA
A0A494C1M0,SH3D19
A0A494C1Q4,PGM3
A0A494C1R9;A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534;A0A1W2PPS3;C9JPU3,TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8;TSPY9
A0A499FI31,SART3
A0A499FI31;Q15020,SART3
A0A499FI48;C9JMN9,PDIA4
A0A499FIZ0,WDR26
A0A499FIZ0;Q9H7D7-2;A0A7P0SXD0,WDR26
A0A590UJ59;Q13616;A0A590UJ50,CUL1
A0A590UJ96,LOC122526780
A0A590UK09;Q12857-2;S4R3W2,NFIA
A0A5F9ZHQ8;Q8N2K0;Q8N2K0-2,ABHD12
A0A5F9ZI21;Q92974;Q92974-2;Q92974-3;A0A8Q3SIN5;V9GYM8,ARHGEF2
A0A5F9ZI21;V9GYF0;Q92974;Q92974-2;Q92974-3;A0A8Q3SIN5;V9GYM8,ARHGEF2
A0A669KAW5;Q8NEL9,DDHD1
A0A669KAY5;A0A669KB27,DUS4L-BCAP29
A0A6Q8PEU7;Q6UWE0;A0A6Q8PFL5;A0A6Q8PGB2;A0A6Q8PGT8,LRSAM1
A0A6Q8PF94,MID1
A0A6Q8PFM5;O95831;A0A6Q8PFE1;A0A6Q8PG15;A0A7I2PK44,AIFM1
A0A6Q8PGP3,LCOR
A0A6Q8PH31,HNRNPR
A0A6Q8PH31;O43390,HNRNPR
A0A6Q8PH91,MACROD1
A0A7I2V2X6,HSPD1
A0A7I2V2X6;P10809,HSPD1
A0A7I2V3F7,HSPA9
A0A7I2V3F7;P38646;D6RCD7,HSPA9
A0A7I2V3R0;Q9P0M6;A0A7I2V412;A0A7I2V423;A0A7I2YQD6,MACROH2A2
A0A7I2V4I5,ZC3H13
A0A7I2V4X8;O75306,NDUFS2
A0A7I2V529;Q92538;Q92538-2;Q92538-3;A0A669KB10;A0A669KBG8;A0A7I2V452;A0A7I2YQM2;A0A7P0RGV0,GBF1
A0A7I2V5F1,DNMT1
A0A7I2V5Y5,KIF23
A0A7I2YQ88,PABPC1
A0A7I2YQ88;P11940;P11940-2;H0YAR2,PABPC1
A0A7I2YQ88;P11940;P11940-2;H0YAR2;Q96DU9;Q96DU9-2,PABPC1;PABPC5
A0A7I2YQ88;Q13310;P11940;P11940-2;H0YAR2,PABPC1;PABPC4
A0A7I2YQ88;Q9H361;P11940;P11940-2;H0YAR2,PABPC1;PABPC3
A0A7I2YQ88;Q9H361;Q13310;P11940;P11940-2;H0YAR2,PABPC1;PABPC3;PABPC4
A0A7I2YQV8,SYNCRIP
A0A7I2YQV8;O60506-2;O60506-3;A0A7I2YQN2,SYNCRIP
A0A7I2YQV8;O60506-3;A0A7I2YQN2,SYNCRIP
A0A7N4I394,PRPF40A
A0A7N4I394;A0A8V8TM61;O75400;F5H578,PRPF40A
A0A7N4I394;A0A8V8TM61;O75400;F5H578;Q6NWY9-3;F8VU11,PRPF40A;PRPF40B
