Protein.Group,Genes
O95159;E9PNY1;E9PQ47,ZFPL1
O95163,ELP1
O95164,UBL3
O95167;S4R3I5,NDUFA3
O95168;O95168-2,NDUFB4
O95168;O95168-2;C9JXQ9;F2Z3P9,NDUFB4
O95169;O95169-3,NDUFB8
O95169;O95169-3;O95169-2;E9PQ68,NDUFB8
O95182,NDUFA7
O95182;M0R0N0,NDUFA7
O95183,VAMP5
O95190;J3KRW5;J3KS80,OAZ2
O95197;O95197-2;O95197-7,RTN3
O95198;O95198-2;O95198-3;B4DFZ5;E9PEX9,KLHL2
O95201;C9JEY6;I3L417,ZNF205
O95202,LETM1
O95208;O95208-2,EPN2
O95208;O95208-2;Q9H201;Q9H201-2;D6REL6;D6RFG3;I6L9I8,EPN2;EPN3
O95210,STBD1
O95214;O95214-2;A0A3B3IS19;C9JVM4;E5RHU8;E5RIL0;E5RJS9;H0YBC1,LEPROTL1
O95218;O95218-2,ZRANB2
O95219,SNX4
O95229;O95229-2,ZWINT
O95229;O95229-2;A6NH27,ZWINT
O95235;O95235-2,KIF20A
O95239,KIF4A
O95239;Q2VIQ3,KIF4A;KIF4B
O95239;Q2VIQ3;Q9Y496;A0A087X011;E9PES4;J3KPF9;Q6ZMV9;Q6ZMV9-3;H0Y718,KIF3A;KIF4A;KIF4B;KIF6
O95243;O95243-2;O95243-5;O95243-3,MBD4
O95243;O95243-2;O95243-5;O95243-3;O95243-6,MBD4
O95248;O95248-4;O95248-5;A0A8I5KR05;A0A8I5KTI7;A0A8I5KU87;A0A8I5KUE4;A0A8I5KY61;A0A8J8YTQ8,SBF1
O95248;O95248-4;O95248-5;A0A8I5KR05;A0A8I5KTI7;A0A8I5KU87;A0A8I5KUE4;A0A8I5KY61;A0A8J8YTQ8;Q86WG5;A0A6Q8PH13;A0A6Q8PHP8;A0A8I5KQ02;A0A8I5KTA9;A0A8I5KWY5,SBF1;SBF2
O95249;O95249-2;E9PCW1;G5E9T8,GOSR1
O95251;O95251-4;O95251-2;A0A9L9PXC5;A0A9L9PXJ9;A0A9L9PXR4;A0A9L9PXR9,KAT7
O95258;O95258-2;O95258-3;F6SL11,SLC25A14
O95260;A0A8I5KNV5;A0A8I5KTH0;A0A8I5KWA6;A0A8I5KZ28,ATE1
O95263;A0A2R8Y4E6,PDE8B
O95271,TNKS
O95273;O95273-2;H3BR23,CCNDBP1
O95273;O95273-3;O95273-2,CCNDBP1
O95274,LYPD3
O95278;O95278-7;O95278-8;O95278-2;A0A1W2PPT8;H0Y7S8,EPM2A
O95292,VAPB
O95292;O95292-2;E5RK64,VAPB
O95292;Q9P0L0;Q9P0L0-2;O95292-2;E5RK64,VAPA;VAPB
O95295,SNAPIN
O95297-3;Q9UEL6,MPZL1
O95297;O95297-2;O95297-3;Q9UEL6,MPZL1
O95297;O95297-2;O95297-4,MPZL1
O95297;O95297-2;O95297-4;O95297-3;Q9UEL6,MPZL1
O95298,NDUFC2
O95298;O95298-2,NDUFC2
O95302-3;O95302,FKBP9
O95302-3;O95302;O95302-2,FKBP9
O95319;O95319-2;O95319-3;O95319-4;O95319-5;A0A0J9YX66;A0A0J9YXJ0;A0A1B0GU44;A0A1B0GUN8;E9PC62;Q5VZZ6;V9GYD9,CELF2
O95336,PGLS
O95340;O95340-2,PAPSS2
O95347,SMC2
O95347;O95347-2,SMC2
O95352,ATG7
O95352;O95352-2,ATG7
O95352;O95352-2;O95352-3,ATG7
O95352;O95352-3,ATG7
O95359-3;E7EMZ9;E9PBC6,TACC2
O95359-3;E7EMZ9;E9PBC6;O75410;O75410-2;O75410-7;O75410-9;E5RFM9,TACC1;TACC2
O95361,TRIM16
O95363,FARS2
O95363;A0A3B3ITR6,FARS2
O95365,ZBTB7A
O95372,LYPLA2
O95373,IPO7
O95373;O15397,IPO7;IPO8
O95376,ARIH2
O95376;C9JZ71,ARIH2
O95379;O95379-2;O95379-3;O95379-4;D6RCM8,TNFAIP8
O95382;O95382-3,MAP3K6
O95391,SLU7
O95391;E5RGM7;E5RK41,SLU7
O95396,MOCS3
O95400,CD2BP2
O95402,MED26
O95405;O95405-2,ZFYVE9
O95406;G3V3B2;G3V4K0;G3V5P8,CNIH1
O95409,ZIC2
O95425;O95425-4;O95425-3;O95425-2;A0A6I8PIX7,SVIL
O95427;A0A1W2PNH8;A0A1W2PNR0;A0A1W2PNW5;A0A1W2PPB6;A0A1W2PQA9;A0A1W2PQZ1;A0A1W2PS19;K7ELE1,PIGN
O95429;O95429-2,BAG4
O95433,AHSA1
O95445;O95445-2;Q5SRP5,APOM
O95453;O95453-2,PARN
O95456;O95456-2,PSMG1
O95466-2,FMNL1
O95466-2;O95466;O95466-3,FMNL1
O95466-2;O95466;O95466-3;Q96PY5-3,FMNL1;FMNL2
O95466-2;Q96PY5-3,FMNL1;FMNL2
O95470;A0A8V8TN35,SGPL1
O95476;I3L1D9;I3L3K5;I3L4B2,CTDNEP1
O95477;A0A7I2V5U0,ABCA1
O95478,NSA2
O95478;A0A0A0MQZ6,NSA2
O95479;O95479-2,H6PD
O95486,SEC24A
O95486;O95486-2,SEC24A
O95486;O95486-2;H0Y9J6,SEC24A
O95487;O95487-2;O95487-3,SEC24B
O95544;O95544-2,NADK
O95544;O95544-2;O95544-3;A0A0A0MR98,NADK
O95551;O95551-2,TDP2
O95551;O95551-2;O95551-3,TDP2
O95551;O95551-2;O95551-3;X6R5A3,TDP2
O95562;Q5TIH2,SFT2D2
O95563;Q5R3B4,MPC2
O95568,METTL18
O95568;Q5TI78,METTL18
O95571,ETHE1
O95571;M0QXB5,ETHE1
O95573;A0A7P0TA76,ACSL3
O95602,POLR1A
O95602;B9ZVN9,POLR1A
O95613;A0A8Q3SHZ3,PCNT
O95619,YEATS4
O95620;A0A669KAY5;A0A669KB27,DUS4L;DUS4L-BCAP29
O95620;O95620-2,DUS4L
O95620;O95620-2;A0A669KAY5;A0A669KB27,DUS4L;DUS4L-BCAP29
O95625;A0A994J7A5,ZBTB11
O95628-2;O95628;O95628-3,CNOT4
O95628-8;O95628-9;O95628-10;O95628-4,CNOT4
O95628-8;O95628-9;O95628-2;A0A9L9PY48,CNOT4
O95628-8;O95628-9;O95628-2;O95628-10;O95628-4;O95628;O95628-3;A0A9L9PY48,CNOT4
O95630;A0A804HHU9;A0A804HJS0,STAMBP
O95633;O95633-2,FSTL3
O95639;O95639-2;O95639-3,CPSF4
O95671,ASMTL
O95674,CDS2
O95677;O95677-2;O95677-4;O95677-5;A0A8C8KDW0;E9PLN6;F2Z2Y1,EYA4
O95684;O95684-2;A0A994J4R0;A0A994J500;A0A994J505;A0A994J518;A0A994J5F6;A0A994J5H0;A0A994J7D3;A0A994J7Q7;A0A087WV25;A0A994J523;A0A994J527;A0A994J5H4;A0A994J5H8,CEP43
O95685,PPP1R3D
O95696-2,BRD1
O95696-2;O95696,BRD1
O95707,POP4
O95714,HERC2
O95716,RAB3D
O95716;P20336,RAB3A;RAB3D
O95716;P20337;Q96E17,RAB3B;RAB3C;RAB3D
O95718-1;P11474,ESRRA;ESRRB
O95721,SNAP29
O95721;C9JAF7,SNAP29
O95747,OXSR1
O95747;A0A8V8TKT5;C9JIG9;Q9UEW8;Q9UEW8-2,OXSR1;STK39
O95747;A0A8V8TKT5;F8WBK9;C9JIG9;Q9UEW8;Q9UEW8-2,OXSR1;STK39
O95747;C9JIG9,OXSR1
O95749;C9J6G3;C9J7M1,GGPS1
O95749;O95749-2,GGPS1
O95749;O95749-2;C9J6G3;C9J7M1,GGPS1
O95751,LDOC1
O95757,HSPA4L
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6,PTBP3
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;O95758-7,PTBP3
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;O95758-7;P26599;P26599-1;P26599-2;A0A0U1RRM4,PTBP1;PTBP3
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;P26599;P26599-1;P26599-2;A0A0U1RRM4,PTBP1;PTBP3
O95759;J3KQ40,TBC1D8
O95772;O95772-2;C9JKL2;C9JPX5,STARD3NL
O95777,LSM8
O95782;O95782-2,AP2A1
O95782;O95782-2;O94973;O94973-2,AP2A1;AP2A2
O95785-3;A0A669KAV7;A0A669KBH9;M0QXA7,WIZ
O95786,RIGI
O95789,ZMYM6
O95793-3,STAU1
O95801,TTC4
O95807,TMEM50A
O95810,CAVIN2
O95816,BAG2
O95817,BAG3
O95817;C9JFK9,BAG3
O95819-6,MAP4K4
O95825;A6NHJ8;A6NND8,CRYZL1
O95833,CLIC3
O95834-2;O95834-3,EML2
O95834-2;O95834-3;O95834,EML2
O95835,LATS1
O95835;Q9NRM7,LATS1;LATS2
O95857,TSPAN13
O95858;H7C285,TSPAN15
O95861;O95861-3;O95861-2,BPNT1
O95861;O95861-4;O95861-2,BPNT1
O95861;O95861-4;O95861-3;O95861-2,BPNT1
O95865,DDAH2
O95865;A0A140T971;Q5SRR8;Q5SSV3;H0Y7N1,DDAH2
O95870;A0A0G2JJD3,ABHD16A
O95872,GPANK1
O95872;A0A0G2JHL1,GPANK1
O95873,C6orf47
O95881,TXNDC12
O95881;V9GY50;V9GYV4,TXNDC12
O95900,TRUB2
O95905;O95905-3,ECD
O95905;O95905-3;O95905-2,ECD
O95926,SYF2
O95983;O95983-2,MBD3
O95983;O95983-2;K7EIE8,MBD3
O95985;O95985-2;O95985-3,TOP3B
O95989,NUDT3
O95989;A0A1W2PQS6,NUDT3;RPS10-NUDT3
O95994,AGR2
O95994;B5MC07;H7C3Z9,AGR2
O95997,PTTG1
O95999;A0A087WWW9,BCL10
O96000,NDUFB10
O96005;O96005-4,CLPTM1
O96005;O96005-4;O96005-3,CLPTM1
O96006,ZBED1
O96006;C9JXP4,ZBED1
O96007,MOCS2
O96008,TOMM40
O96008;O96008-2,TOMM40
O96011;O96011-2,PEX11B
O96011;O96011-2;H7C3V6,PEX11B
O96013;O96013-4,PAK4
O96013;O96013-4;O96013-2,PAK4
O96013;O96013-4;O96013-2;O96013-3,PAK4
O96013;O96013-4;O96013-2;O96013-3;Q9NQU5;Q9NQU5-2,PAK4;PAK6
O96017;O96017-9,CHEK2
O96018,APBA3
O96019,ACTL6A
O96019;O94805,ACTL6A;ACTL6B
O96019;O96019-2,ACTL6A
O96019;O96019-2;O94805,ACTL6A;ACTL6B
O96020;O96020-2;Q8WUE3,CCNE2
O96028,NSD2
O96028;O96028-2;O96028-4,NSD2
O96028;O96028-3,NSD2
O96033,MOCS2
O96033;E9PKT9,MOCS2
P00156,MT-CYB
P00326,ADH1C
P00338;P00338-3;P00338-2;P00338-5,LDHA
P00338;P00338-3;P00338-4,LDHA
P00338;P00338-3;P00338-4;P00338-2;P00338-5,LDHA
P00338;P00338-3;P00338-4;P00338-2;P00338-5;Q6ZMR3;F5H5G7;P07195;A0A5F9ZHM4,LDHA;LDHAL6A;LDHB;LDHC
P00367,GLUD1
P00374;B4DM58,DHFR
P00374;P00374-2,DHFR
P00374;P00374-2;B4DM58,DHFR
P00387;P00387-2;P00387-3;A0A8I5KR71;A0A8J8YWN6,CYB5R3
P00390;P00390-2;P00390-3,GSR
P00390;P00390-2;P00390-3;P00390-4;P00390-5,GSR
P00390;P00390-2;P00390-3;P00390-4;P00390-5;A0A2R8YF59,GSR
P00390;P00390-2;P00390-4,GSR
P00395,MT-CO1
P00403,MT-CO2
P00414,MT-CO3
P00439;J3KND8,PAH
P00441,SOD1
P00441;H7BYH4,SOD1
P00488,F13A1
P00488;A6PVK5;Q9NQP5,F13A1
P00491,PNP
P00492,HPRT1
P00505,GOT2
P00519;P00519-2,ABL1
P00519;P00519-2;P42684;P42684-5;P42684-6;P42684-7;P42684-10;P42684-2;P42684-3;P42684-4;P42684-8,ABL1;ABL2
P00533;C9JYS6,EGFR
P00558;P00558-2,PGK1
P00558;P00558-2;P07205,PGK1;PGK2
P00558;P07205,PGK1;PGK2
P00568;Q5T9B7,AK1
P00734;E9PIT3,F2
P00846,MT-ATP6
P00966,ASS1
P00966;Q5T6L6,ASS1
P00973;P00973-2;P00973-3;P00973-4;A0A7P0T854;A0A7P0T879;A0A7P0T8E1;A0A7P0TB35;A0A7P0TBG0;A0A7P0Z444;A0A7P0Z4B6;F8VPW7;H0YIB8;S4R3A5;S4R467,OAS1
P01008,SERPINC1
P01023,A2M
P01023;P20742,A2M;PZP
P01024,C3
P01031;A0A8Q3SID6,C5
P01033;Q5H9A7,TIMP1
P01034,CST3
P01100;P01100-2;G3V5J9,FOS
P01106;P01106-1;P01106-3;A0A494C1T8,MYC
P01111,NRAS
P01111;P01112,HRAS;NRAS
P01111;P01112;P01116;P01116-2;A0A8I5KQ21,HRAS;KRAS;NRAS
P01111;P01116;P01116-2;A0A8I5KQ21,KRAS;NRAS
P01112,HRAS
P01112;P01116;P01116-2;A0A8I5KQ21,HRAS;KRAS
P01116,KRAS
P01116-2;A0A8I5KQ21,KRAS
P01116;P01116-2;A0A8I5KQ21,KRAS
P01130-2,LDLR
P01130-2;P01130;P01130-5;P01130-4;J3KMZ9,LDLR
P01130-2;P01130;P01130-5;P01130-4;J3KMZ9;Q14114;A0A590UJ57;A0A590UKB1,LDLR;LRP8
P01130;P01130-5;P01130-4;J3KMZ9,LDLR
P01137;A0A499FJK2,TGFB1
P01215;A0A087WYZ4;A0A0D9SGA7;A0A0R4J2F0,CGA
P02042;E9PFT6,HBD
P02042;E9PFT6;P69892,HBD;HBG2
P02452;I3L3H7,COL1A1
P02462;P29400;P29400-2;A0A3B3ISV3,COL4A1;COL4A5
P02489;A0A8C8KJZ9;E7EWH7,CRYAA
P02511;E9PRA8;E9PJL7,CRYAB
P02545-2,LMNA
P02545;A0A6Q8PFJ0,LMNA
P02545;A0A6Q8PFJ0;P02545-2,LMNA
P02649,APOE
P02652;V9GYE3;V9GYM3,APOA2
P02656;B0YIW2,APOC3
P02686;P02686-2;P02686-3;P02686-4;P02686-5;P02686-6;A8MZH3;E9PKX9;E9PMR5;E9PNZ1;F5H7N4;F8WEU6;H0YEA2;H0YF02;H7BYR8;J3KT34;J3QKL5;J3QL64;J3QQK6,MBP
P02748;A0A8Q3SI37;A0A8Q3SI95,C9
P02751;P02751-1;P02751-11;P02751-14;P02751-3;P02751-7;P02751-8;P02751-10;P02751-12;P02751-13;P02751-17;P02751-4;P02751-5;P02751-6;P02751-9,FN1
P02763,ORM1
P02765,AHSG
P02768;A0A0C4DGB6;H0YA55,ALB
P02786;A0A8V8TLM6,TFRC
P02788;P02788-2;E7EQB2;E7ER44,LTF
P02790,HPX
P02792,FTL
P02794,FTH1
P02795,MT2A
P03886,MT-ND1
P03891,MT-ND2
P03897,MT-ND3
P03905,MT-ND4
P03915,MT-ND5
P03923,MT-ND6
P03928,MT-ATP8
P03971,AMH
P03973,SLPI
P03999,OPN1SW
P04004,VTN
P04035;P04035-2;P04035-3;A0A7P0Z481,HMGCR
P04040,CAT
P04049;P04049-2;A0A8I5KSV6,RAF1
P04062;P04062-2;P04062-4;A0A0G2JLB3;A0A0G2JNZ5,GBA1
P04062;P04062-2;P04062-4;P04062-5,GBA1
P04062;P04062-2;P04062-4;P04062-5;A0A0G2JLB3;A0A0G2JNZ5,GBA1
P04066,FUCA1
P04075,ALDOA
P04075;P09972,ALDOA;ALDOC
P04080,CSTB
P04083,ANXA1
P04083;Q5T3N1,ANXA1
P04114,APOB
P04114;A8MUN2,APOB
P04150;P04150-10;P04150-2;P04150-3;P04150-6;A0A494C0P1,NR3C1
P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9;A0A494C0P1,NR3C1
P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9;P04150-11;P04150-12;A0A494C0P1,NR3C1
P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9;P04150-11;P04150-12;P04150-13;A0A494C0P1,NR3C1
P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9;P04150-11;P04150-12;P04150-13;P04150-14;P04150-15;P04150-16,NR3C1
P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9;P04150-11;P04150-12;P04150-13;P04150-14;P04150-15;P04150-16;A0A494C0P1,NR3C1
P04156;A2A2V1,PRNP
P04179;P04179-2;P04179-3;F5GYZ5;F5H4R2,SOD2
P04179;P04179-4;P04179-2;F5GYZ5;F5H4R2,SOD2
P04179;P04179-4;P04179-2;P04179-3,SOD2
P04179;P04179-4;P04179-2;P04179-3;F5GYZ5;F5H4R2,SOD2
P04179;P04179-4;P04179-3;F5GYZ5;F5H4R2,SOD2
P04180;J3QKT0;J3QSE5,LCAT
P04181,OAT
P04183;K7ERV3,TK1
P04264,KRT1
P04264;P04259,KRT1;KRT6B
P04350,TUBB4A
P04406-2,GAPDH
P04406-2;P04406,GAPDH
P04406-2;P04406;E7EUT5,GAPDH
P04424,ASL
P04626-6;P00533;C9JYS6;P04626;P04626-4;P04626-5;Q15303;Q15303-2;Q15303-3;Q15303-4;A0A0A0MSE1,EGFR;ERBB2;ERBB4
P04626-6;P04626;P04626-4;P04626-5,ERBB2
P04626;P04626-4;P04626-5,ERBB2
P04632;A0A0C4DGQ5,CAPNS1
P04792,HSPB1
P04818,TYMS
P04818-3,TYMS
P04818;P04818-3,TYMS
P04843,RPN1
P04843;F8WF32,RPN1
P04844;A0A994J5J1,RPN2
P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6,GNAI2
P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P08754;P09471-2;P63096-2,GNAI1;GNAI2;GNAI3;GNAO1
P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P08754;P19087;P63096-2,GNAI1;GNAI2;GNAI3;GNAT2
P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P08754;P63096-2,GNAI1;GNAI2;GNAI3
P04899;P04899-2;P04899-3;P04899-5;P04899-6;P08754;P63096-2,GNAI1;GNAI2;GNAI3
P04899;P04899-4;P08754;P09471-2;P19087;P63092;P63092-2;P63092-3;P63092-4;Q5JWF2;Q5JWF2-2;A0A590UJS2;A0A7I2V5R6;Q5JWE9,GNAI2;GNAI3;GNAO1;GNAS;GNAT2
P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;A0A0U1RR32;A0A0U1RRH7,H2AC1;H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ;H2AX;hCG_2039566
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1;A0A0U1RR32;A0A0U1RRH7,H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ;hCG_2039566
P04920;A0A7I2V5T6,SLC4A2
P04920;P04920-2;P04920-3,SLC4A2
P04920;P04920-2;P04920-3;A0A7I2V5T6,SLC4A2
P05023;P05023-4,ATP1A1
P05023;P05023-4;P05023-3,ATP1A1
P05023;P05023-4;P05023-3;P13637;P13637-2;P13637-3;A0A0A0MT26;A0A2R8YEY8;M0R116,ATP1A1;ATP1A3
P05023;P05023-4;P05023-3;P13637;P13637-2;P13637-3;A0A0A0MT26;A0A2R8YEY8;M0R116;P50993;B1AKY9,ATP1A1;ATP1A2;ATP1A3
P05023;P05023-4;P05023-3;P50993;B1AKY9,ATP1A1;ATP1A2
P05026;P05026-2,ATP1B1
P05067;E9PG40,APP
P05114;A6NEL0;A6NL93,HMGN1
P05129;P05129-2;A0A804HHY0,PRKCG
P05141,SLC25A5
P05141;P12235,SLC25A4;SLC25A5
P05141;P12236,SLC25A5;SLC25A6
P05141;P12236;Q9H0C2;P12235,SLC25A31;SLC25A4;SLC25A5;SLC25A6
P05161;A0A096LPJ4,ISG15
P05165,PCCA
P05166;P05166-2;E7EX59;E7EUY3;E9PDR0,PCCB
P05198,EIF2S1
P05198;G3V4T5,EIF2S1
P05204;A0A087WZE9;A0A994J3W4;A0A9L9PXC9,HMGN2;HMGN3
P05362,ICAM1
P05386,RPLP1
P05387,RPLP2
P05387;H0YDD8,RPLP2
P05387;P05386;H0YDD8,RPLP1;RPLP2
P05388,RPLP0
P05388-2;F8VWV4;P05388,RPLP0
P05388-2;P05388,RPLP0
P05412,JUN
P05413;S4R371,FABP3
P05423,POLR3D
P05423;E5RHT4,POLR3D
P05455,SSB
P05455;E7ERC4,SSB
P05549-5;P05549;P05549-6;A0A6E1XE14,TFAP2A
P05556;A0A7I2V2F9;E7EUI6;H7C4K3,ITGB1
P05783,KRT18
P05783;F8VZY9,KRT18
P05783;F8VZY9;P08727,KRT18;KRT19
P05787;P05787-2,KRT8
P05787;P05787-2;P04259,KRT6B;KRT8
P05787;P05787-2;P04264;P35908;Q01546;F8W0C6;P04259,KRT1;KRT2;KRT5;KRT6B;KRT76;KRT8
P05787;P05787-2;P04264;Q5XKE5;F8W0C6;P04259,KRT1;KRT5;KRT6B;KRT79;KRT8
P05976-2;P05976;P08590,MYL1;MYL3
P06132,UROD
P06213;P06213-2,INSR
P06213;P06213-2;P08069;C9J5X1,IGF1R;INSR
P06213;P06213-2;P14616;P08069;C9J5X1,IGF1R;INSR;INSRR
P06241,FYN
P06241-2,FYN
P06241;P06241-2;P06241-3,FYN
P06241;P06241-2;P06241-3;E5RGM6,FYN
P06241;P06241-2;P06241-3;P07947;J3QRU1,FYN;YES1
P06276,BCHE
P06280;A0A3B3IUC4;A0A6Q8PFA9,GLA
P06400;A0A3B3IS71,RB1
P06454;P06454-2;B8ZZA1;B8ZZQ6;B8ZZW7;H7C2N1,PTMA
P06493,CDK1
P06576,ATP5F1B
P06576;H0YI37,ATP5F1B
P06703;R4GN98,S100A6
P06730-2;P06730-3;P06730;D6RBW1,EIF4E
P06732;P12277,CKB;CKM
P06733,ENO1
P06737;P06737-2,PYGL
P06737;P06737-2;E9PK47,PYGL
P06737;P06737-2;P11217;P11217-2;E9PK47,PYGL;PYGM
P06744;A0A2U3TZU2,GPI
P06746,POLB
P06748;P06748-2;A0A7I2V5S2;A0A7I2YQC0,NPM1
P06748;P06748-2;A0A7I2V5S2;A0A7I2YQC0;A0A7I2V5J8;E5RI98,NPM1
P06753,TPM3
P06753-2,TPM3
P06753-3;P06753-2,TPM3
P06753-3;P06753-4,TPM3
P06753-3;P06753-4;P06753-2,TPM3
P06753-3;P06753-4;P06753-2;P06753,TPM3
P06753-3;P06753-4;P06753-2;P07951-2;P07951;P67936;H7BYY1;P67936-2;P06753;P09493-6,TPM1;TPM2;TPM3;TPM4
P06753-3;P06753-4;P06753-2;P07951-2;P07951;P67936;P67936-2;P06753,TPM2;TPM3;TPM4
P06756;P06756-3;A0A8V8TKG0;A0A8V8TLW4,ITGAV
P06865;H3BP20;H3BS10,HEXA
P07099,EPHX1
P07099;B1AQP8,EPHX1
P07108;P07108-2;P07108-3;P07108-4;P07108-5;B8ZWD1,DBI
P07195;A0A5F9ZHM4,LDHB
P07199,CENPB
P07203;A0A994J430;A0A994J702,GPX1
P07205,PGK2
P07305,H1-0
P07311;G3V2U7,ACYP1
P07339;A0A1B0GVD5;A0A1B0GWE8,CTSD
P07355;P07355-2;H0YMW4,ANXA2
P07384,CAPN1
P07437,TUBB
P07437;Q5JP53,TUBB
P07478;A0A0J9YYC8;A6XMV9,PRSS2
P07602;P07602-2;P07602-3,PSAP
P07602;P07602-2;P07602-3;A0A0J9YXB8,PSAP
P07686,HEXB
P07686;Q5URX0,HEXB
P07711;A0A7I2V5M3,CTSL
P07737,PFN1
P07738,BPGM
P07741,APRT
P07814,EPRS1
P07814;V9GYZ6,EPRS1
P07814;V9GYZ6;P47897,EPRS1;QARS1
P07858;E9PHZ5,CTSB
P07900;P07900-2,HSP90AA1
P07900;P07900-2;Q58FG0,HSP90AA1;HSP90AA5P
P07900;P07900-2;Q58FG1,HSP90AA1;HSP90AA4P
P07902;A0A8I5KVJ6;F2Z2X9;G3V223;G3V3U5;G3V4G9,GALT
P07902;P07902-2,GALT
P07910-2;G3V4C1;P07910;G3V2Q1,HNRNPC
P07910;G3V2Q1,HNRNPC
P07919,UQCRH
P07919;A0A096LP55,UQCRH;UQCRHL
P07942;A0A7I2V4J9,LAMB1
P07947;J3QRU1,YES1
P07948,LYN
P07948-2,LYN
P07948-2;P07948,LYN
P07948-2;P07948;P06241;P06241-2;P06241-3;P07947;J3QRU1,FYN;LYN;YES1
P07948-2;P07948;P06241;P06241-2;P06241-3;P21802-21;P51451;Q8IZL9;P07947;J3QRU1;A0A804HIF1;P22455-2;P22455;J3KPQ0;Q9UPZ9;A0A7I2PIU1,BLK;CDK20;CILK1;FGFR1;FGFR2;FGFR4;FYN;LYN;YES1
P07948-2;P07948;P07947;J3QRU1,LYN;YES1
P07951,TPM2
P07951-2,TPM2
P07951-2;P07951,TPM2
P07951-2;P07951;P67936;P67936-2,TPM2;TPM4
P07951;P67936;P67936-2,TPM2;TPM4
P07954;P07954-2,FH
P07954;P07954-2;A0A804HI24,FH
P07992;P07992-2;P07992-3,ERCC1
P07992;P07992-2;P07992-4,ERCC1
P07992;P07992-2;P07992-4;P07992-3,ERCC1
P07992;P07992-4;P07992-3,ERCC1
P07996;P07996-2,THBS1
P08047-2;P08047;P08047-3,SP1
P08069;C9J5X1,IGF1R
P08133,ANXA6
P08133;E5RK69,ANXA6
P08134;E9PQH6;Q5JR08,RHOC
P08134;P61586;E9PQH6;Q5JR08,RHOA;RHOC
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7;A0A8Q3SI94;A0A8Q3WKT6;B1AP13;H3BLV0,CD55
P08185,SERPINA6
P08195;A0A7P0TAN7;A0A7P0Z4A0;A0A7P0Z4P5;F5GZS6,SLC3A2
P08236-2,GUSB
P08236;P08236-2,GUSB
P08236;P08236-2;P08236-3,GUSB
P08236;P08236-2;P08236-3;F2Z3L6;F8WBK6,GUSB
P08236;P08236-3,GUSB
P08237;P08237-3;A0A2R8Y891,PFKM
P08238,HSP90AB1
P08238;P07900;P07900-2,HSP90AA1;HSP90AB1
P08238;P07900;P07900-2;Q58FF7,HSP90AA1;HSP90AB1;HSP90AB3P
P08238;P07900;P07900-2;Q58FF7;Q58FF6,HSP90AA1;HSP90AB1;HSP90AB3P;HSP90AB4P
P08238;P07900;P07900-2;Q58FF7;Q58FF6;Q58FG0,HSP90AA1;HSP90AA5P;HSP90AB1;HSP90AB3P;HSP90AB4P
P08238;P07900;P07900-2;Q58FF7;Q58FF8;Q58FF6,HSP90AA1;HSP90AB1;HSP90AB2P;HSP90AB3P;HSP90AB4P
P08238;P07900;P07900-2;Q58FF8,HSP90AA1;HSP90AB1;HSP90AB2P
P08238;P07900;P07900-2;Q58FG1;Q58FF7,HSP90AA1;HSP90AA4P;HSP90AB1;HSP90AB3P
P08238;P14625,HSP90AB1;HSP90B1
P08238;Q58FF7,HSP90AB1;HSP90AB3P
P08238;Q58FF8,HSP90AB1;HSP90AB2P
P08240,SRPRA
P08243;P08243-2;F8WEJ5,ASNS
P08243;P08243-2;P08243-3,ASNS
P08243;P08243-2;P08243-3;F8WEJ5,ASNS
P08397;P08397-2,HMBS
P08559;P08559-4;Q5JPU2,PDHA1
P08574,CYC1
P08579,SNRPB2
P08581,MET
P08581;P08581-2,MET
P08581;P08581-2;P42685;P42685-2;Q04912;Q04912-2;Q04912-7,FRK;MET;MST1R
P08582;P08582-2;A0A8Q3WLY9;C9JVN1,MELTF
P08603;A0A8Q3SI99;A0A8Q3SID8;A0A8Q3WKW7,CFH
P08621;P08621-2,SNRNP70
P08621;P08621-2;P08621-3,SNRNP70
